Year,Month,Day,Hour,Long,Flare_Class,R_Level,Datetime
2002,12,3,0,5.72e-07,,,2002-12-03 00:00:00
2002,12,3,1,6.73e-07,,,2002-12-03 01:00:00
2002,12,3,2,5.43e-07,,,2002-12-03 02:00:00
2002,12,3,3,5.2e-07,,,2002-12-03 03:00:00
2002,12,3,4,4.67e-07,,,2002-12-03 04:00:00
2002,12,3,5,4.68e-07,,,2002-12-03 05:00:00
2002,12,3,6,4.88e-07,,,2002-12-03 06:00:00
2002,12,3,7,4.9e-07,,,2002-12-03 07:00:00
2002,12,3,8,8.49e-06,C8.5,,2002-12-03 08:00:00
2002,12,3,9,5.94e-07,,,2002-12-03 09:00:00
2002,12,3,10,6.63e-07,,,2002-12-03 10:00:00
2002,12,3,11,5.55e-07,,,2002-12-03 11:00:00
2002,12,3,12,4.59e-07,,,2002-12-03 12:00:00
2002,12,3,13,1.27e-06,C1.3,,2002-12-03 13:00:00
2002,12,3,14,7.01e-07,,,2002-12-03 14:00:00
2002,12,3,15,4.88e-07,,,2002-12-03 15:00:00
2002,12,3,16,4.29e-07,,,2002-12-03 16:00:00
2002,12,3,17,5.39e-07,,,2002-12-03 17:00:00
2002,12,3,18,4.39e-07,,,2002-12-03 18:00:00
2002,12,3,19,4.13e-07,,,2002-12-03 19:00:00
2002,12,3,20,5.97e-07,,,2002-12-03 20:00:00
2002,12,3,21,4.68e-07,,,2002-12-03 21:00:00
2002,12,3,22,4.4e-07,,,2002-12-03 22:00:00
2002,12,3,23,4.43e-07,,,2002-12-03 23:00:00
2002,12,4,0,4.98e-07,,,2002-12-04 00:00:00
2002,12,4,1,4.4e-07,,,2002-12-04 01:00:00
2002,12,4,2,7.59e-07,,,2002-12-04 02:00:00
2002,12,4,3,6.15e-07,,,2002-12-04 03:00:00
2002,12,4,4,4.78e-07,,,2002-12-04 04:00:00
2002,12,4,5,7.03e-07,,,2002-12-04 05:00:00
2002,12,4,6,9.19e-07,,,2002-12-04 06:00:00
2002,12,4,7,8.56e-07,,,2002-12-04 07:00:00
2002,12,4,8,5.12e-07,,,2002-12-04 08:00:00
2002,12,4,9,4.59e-07,,,2002-12-04 09:00:00
2002,12,4,10,4.85e-07,,,2002-12-04 10:00:00
2002,12,4,11,5.4e-07,,,2002-12-04 11:00:00
2002,12,4,12,5.31e-07,,,2002-12-04 12:00:00
2002,12,4,13,8.25e-07,,,2002-12-04 13:00:00
2002,12,4,14,8.88e-07,,,2002-12-04 14:00:00
2002,12,4,15,6.43e-07,,,2002-12-04 15:00:00
2002,12,4,16,8.41e-07,,,2002-12-04 16:00:00
2002,12,4,17,6.7e-07,,,2002-12-04 17:00:00
2002,12,4,18,6.52e-07,,,2002-12-04 18:00:00
2002,12,4,19,4.69e-07,,,2002-12-04 19:00:00
2002,12,4,20,5.85e-07,,,2002-12-04 20:00:00
2002,12,4,21,5.19e-07,,,2002-12-04 21:00:00
2002,12,4,22,2.64e-05,M2.6,R1,2002-12-04 22:00:00
2002,12,4,23,9.59e-06,C9.6,,2002-12-04 23:00:00
2002,12,5,0,4.81e-07,,,2002-12-05 00:00:00
2002,12,5,1,4.92e-07,,,2002-12-05 01:00:00
2002,12,5,2,5e-07,,,2002-12-05 02:00:00
2002,12,5,3,4.77e-07,,,2002-12-05 03:00:00
2002,12,5,4,1.1e-06,C1.1,,2002-12-05 04:00:00
2002,12,5,5,8.58e-07,,,2002-12-05 05:00:00
2002,12,5,6,4.65e-07,,,2002-12-05 06:00:00
2002,12,5,7,4.28e-07,,,2002-12-05 07:00:00
2002,12,5,8,3.98e-07,,,2002-12-05 08:00:00
2002,12,5,9,4.02e-07,,,2002-12-05 09:00:00
2002,12,5,10,4.71e-07,,,2002-12-05 10:00:00
2002,12,5,11,7.39e-07,,,2002-12-05 11:00:00
2002,12,5,12,4.22e-07,,,2002-12-05 12:00:00
2002,12,5,13,4.9e-07,,,2002-12-05 13:00:00
2002,12,5,14,4.57e-07,,,2002-12-05 14:00:00
2002,12,5,15,4.69e-07,,,2002-12-05 15:00:00
2002,12,5,16,3.99e-07,,,2002-12-05 16:00:00
2002,12,5,17,4.37e-07,,,2002-12-05 17:00:00
2002,12,5,18,4.58e-07,,,2002-12-05 18:00:00
2002,12,5,19,4.95e-07,,,2002-12-05 19:00:00
2002,12,5,20,4.23e-07,,,2002-12-05 20:00:00
2002,12,5,21,5.81e-07,,,2002-12-05 21:00:00
2002,12,5,22,1.06e-06,C1.1,,2002-12-05 22:00:00
2002,12,5,23,4.95e-07,,,2002-12-05 23:00:00
2002,12,6,0,4.16e-07,,,2002-12-06 00:00:00
2002,12,6,1,5.19e-07,,,2002-12-06 01:00:00
2002,12,6,2,4.91e-07,,,2002-12-06 02:00:00
2002,12,6,3,4.28e-07,,,2002-12-06 03:00:00
2002,12,6,4,4.43e-07,,,2002-12-06 04:00:00
2002,12,6,5,4.65e-07,,,2002-12-06 05:00:00
2002,12,6,6,4.1e-07,,,2002-12-06 06:00:00
2002,12,6,7,4.16e-07,,,2002-12-06 07:00:00
2002,12,6,8,2.17e-06,C2.2,,2002-12-06 08:00:00
2002,12,6,9,1.43e-06,C1.4,,2002-12-06 09:00:00
2002,12,6,10,1.72e-06,C1.7,,2002-12-06 10:00:00
2002,12,6,11,9.37e-07,,,2002-12-06 11:00:00
2002,12,6,12,4.53e-07,,,2002-12-06 12:00:00
2002,12,6,13,4.15e-07,,,2002-12-06 13:00:00
2002,12,6,14,4.55e-07,,,2002-12-06 14:00:00
2002,12,6,15,4.55e-07,,,2002-12-06 15:00:00
2002,12,6,16,7.27e-07,,,2002-12-06 16:00:00
2002,12,6,17,6.77e-07,,,2002-12-06 17:00:00
2002,12,6,18,4.53e-07,,,2002-12-06 18:00:00
2002,12,6,19,4.79e-07,,,2002-12-06 19:00:00
2002,12,6,20,5.24e-07,,,2002-12-06 20:00:00
2002,12,6,21,4.98e-07,,,2002-12-06 21:00:00
2002,12,6,22,8.61e-07,,,2002-12-06 22:00:00
2002,12,6,23,7.28e-07,,,2002-12-06 23:00:00
2002,12,7,0,8.46e-07,,,2002-12-07 00:00:00
2002,12,7,1,5.16e-07,,,2002-12-07 01:00:00
2002,12,7,2,6.18e-07,,,2002-12-07 02:00:00
2002,12,7,3,4.19e-07,,,2002-12-07 03:00:00
2002,12,7,4,4.31e-07,,,2002-12-07 04:00:00
2002,12,7,5,5e-07,,,2002-12-07 05:00:00
2002,12,7,6,4.95e-07,,,2002-12-07 06:00:00
2002,12,7,7,9.17e-07,,,2002-12-07 07:00:00
2002,12,7,8,4.57e-07,,,2002-12-07 08:00:00
2002,12,7,9,1.97e-06,C2.0,,2002-12-07 09:00:00
2002,12,7,10,2.12e-06,C2.1,,2002-12-07 10:00:00
2002,12,7,11,7.43e-07,,,2002-12-07 11:00:00
2002,12,7,12,4.45e-07,,,2002-12-07 12:00:00
2002,12,7,13,4.37e-07,,,2002-12-07 13:00:00
2002,12,7,14,4.21e-07,,,2002-12-07 14:00:00
2002,12,7,15,4.37e-07,,,2002-12-07 15:00:00
2002,12,7,16,4.5e-07,,,2002-12-07 16:00:00
2002,12,7,17,7.19e-07,,,2002-12-07 17:00:00
2002,12,7,18,1.09e-06,C1.1,,2002-12-07 18:00:00
2002,12,7,19,7.76e-07,,,2002-12-07 19:00:00
2002,12,7,20,4.97e-07,,,2002-12-07 20:00:00
2002,12,7,21,6.85e-07,,,2002-12-07 21:00:00
2002,12,7,22,5.57e-07,,,2002-12-07 22:00:00
2002,12,7,23,6.52e-07,,,2002-12-07 23:00:00
2002,12,8,0,5.52e-07,,,2002-12-08 00:00:00
2002,12,8,1,8.1e-07,,,2002-12-08 01:00:00
2002,12,8,2,7.79e-07,,,2002-12-08 02:00:00
2002,12,8,3,8.57e-07,,,2002-12-08 03:00:00
2002,12,8,4,1.01e-06,C1.0,,2002-12-08 04:00:00
2002,12,8,5,6.65e-07,,,2002-12-08 05:00:00
2002,12,8,6,6.24e-07,,,2002-12-08 06:00:00
2002,12,8,7,5.72e-07,,,2002-12-08 07:00:00
2002,12,8,8,2.65e-06,C2.7,,2002-12-08 08:00:00
2002,12,8,9,7.21e-07,,,2002-12-08 09:00:00
2002,12,8,10,7.59e-07,,,2002-12-08 10:00:00
2002,12,8,11,7.86e-07,,,2002-12-08 11:00:00
2002,12,8,12,5.44e-07,,,2002-12-08 12:00:00
2002,12,8,13,6.07e-07,,,2002-12-08 13:00:00
2002,12,8,14,7.19e-07,,,2002-12-08 14:00:00
2002,12,8,15,7.4e-07,,,2002-12-08 15:00:00
2002,12,8,16,8.55e-07,,,2002-12-08 16:00:00
2002,12,8,17,5.7e-07,,,2002-12-08 17:00:00
2002,12,8,18,8.27e-07,,,2002-12-08 18:00:00
2002,12,8,19,7.09e-07,,,2002-12-08 19:00:00
2002,12,8,20,6.75e-07,,,2002-12-08 20:00:00
2002,12,8,21,8.04e-07,,,2002-12-08 21:00:00
2002,12,8,22,1e-06,C1.0,,2002-12-08 22:00:00
2002,12,8,23,2.54e-06,C2.5,,2002-12-08 23:00:00
2002,12,9,0,1.08e-06,C1.1,,2002-12-09 00:00:00
2002,12,9,1,1.15e-06,C1.2,,2002-12-09 01:00:00
2002,12,9,2,1.18e-06,C1.2,,2002-12-09 02:00:00
2002,12,9,3,1.06e-06,C1.1,,2002-12-09 03:00:00
2002,12,9,4,1.17e-06,C1.2,,2002-12-09 04:00:00
2002,12,9,5,1.21e-06,C1.2,,2002-12-09 05:00:00
2002,12,9,6,1.51e-06,C1.5,,2002-12-09 06:00:00
2002,12,9,7,1.1e-06,C1.1,,2002-12-09 07:00:00
2002,12,9,8,1.02e-06,C1.0,,2002-12-09 08:00:00
2002,12,9,9,8.35e-07,,,2002-12-09 09:00:00
2002,12,9,10,8.44e-07,,,2002-12-09 10:00:00
2002,12,9,11,8.87e-07,,,2002-12-09 11:00:00
2002,12,9,12,1.16e-06,C1.2,,2002-12-09 12:00:00
2002,12,9,13,1.51e-06,C1.5,,2002-12-09 13:00:00
2002,12,9,14,1.11e-06,C1.1,,2002-12-09 14:00:00
2002,12,9,15,1.09e-06,C1.1,,2002-12-09 15:00:00
2002,12,9,16,8.14e-07,,,2002-12-09 16:00:00
2002,12,9,17,1.96e-06,C2.0,,2002-12-09 17:00:00
2002,12,9,18,1.26e-06,C1.3,,2002-12-09 18:00:00
2002,12,9,19,1.94e-06,C1.9,,2002-12-09 19:00:00
2002,12,9,20,2.49e-06,C2.5,,2002-12-09 20:00:00
2002,12,9,21,4.16e-06,C4.2,,2002-12-09 21:00:00
2002,12,9,22,1.14e-06,C1.1,,2002-12-09 22:00:00
2002,12,9,23,2.12e-06,C2.1,,2002-12-09 23:00:00
2002,12,10,0,3.17e-06,C3.2,,2002-12-10 00:00:00
2002,12,10,1,5.54e-06,C5.5,,2002-12-10 01:00:00
2002,12,10,2,2.1e-06,C2.1,,2002-12-10 02:00:00
2002,12,10,3,3.03e-06,C3.0,,2002-12-10 03:00:00
2002,12,10,4,2.71e-06,C2.7,,2002-12-10 04:00:00
2002,12,10,5,2.56e-06,C2.6,,2002-12-10 05:00:00
2002,12,10,6,1.94e-06,C1.9,,2002-12-10 06:00:00
2002,12,10,7,4.04e-06,C4.0,,2002-12-10 07:00:00
2002,12,10,8,2.59e-06,C2.6,,2002-12-10 08:00:00
2002,12,10,9,2.37e-06,C2.4,,2002-12-10 09:00:00
2002,12,10,10,1.83e-06,C1.8,,2002-12-10 10:00:00
2002,12,10,11,2.16e-06,C2.2,,2002-12-10 11:00:00
2002,12,10,12,1.15e-05,M1.1,R1,2002-12-10 12:00:00
2002,12,10,13,2.21e-06,C2.2,,2002-12-10 13:00:00
2002,12,10,14,1.4e-06,C1.4,,2002-12-10 14:00:00
2002,12,10,15,1.67e-06,C1.7,,2002-12-10 15:00:00
2002,12,10,16,1.05e-06,C1.1,,2002-12-10 16:00:00
2002,12,10,17,2.14e-06,C2.1,,2002-12-10 17:00:00
2002,12,10,18,1.24e-06,C1.2,,2002-12-10 18:00:00
2002,12,10,19,2.61e-06,C2.6,,2002-12-10 19:00:00
2002,12,10,20,1.52e-06,C1.5,,2002-12-10 20:00:00
2002,12,10,21,1.22e-06,C1.2,,2002-12-10 21:00:00
2002,12,10,22,1.28e-06,C1.3,,2002-12-10 22:00:00
2002,12,10,23,9.71e-07,,,2002-12-10 23:00:00
2002,12,11,0,1.07e-06,C1.1,,2002-12-11 00:00:00
2002,12,11,1,1.64e-06,C1.6,,2002-12-11 01:00:00
2002,12,11,2,1.43e-06,C1.4,,2002-12-11 02:00:00
2002,12,11,3,1.2e-06,C1.2,,2002-12-11 03:00:00
2002,12,11,4,1.12e-06,C1.1,,2002-12-11 04:00:00
2002,12,11,5,1.4e-06,C1.4,,2002-12-11 05:00:00
2002,12,11,6,2.13e-06,C2.1,,2002-12-11 06:00:00
2002,12,11,7,9.9e-07,,,2002-12-11 07:00:00
2002,12,11,8,1.02e-06,C1.0,,2002-12-11 08:00:00
2002,12,11,9,1.29e-06,C1.3,,2002-12-11 09:00:00
2002,12,11,10,1.13e-06,C1.1,,2002-12-11 10:00:00
