track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
Proton SPE,dlinear,per-day,0.732,0.091,0.761,0.099,0.631,0.127,0.763,0.097,0.906,0.043,0.81,0.143,0.928,0.206,5.0
Proton SPE,dlinear,per-point,0.824,0.06,0.776,0.065,0.645,0.084,0.778,0.062,0.943,0.024,0.741,0.083,1.13,0.133,5.0
Proton SPE,dlinear,per-window,0.762,0.053,0.798,0.067,0.677,0.088,0.801,0.067,0.924,0.02,0.855,0.133,0.912,0.182,5.0
Proton SPE,frets,per-day,0.576,0.186,0.688,0.124,0.542,0.141,0.717,0.093,0.877,0.081,0.931,0.106,0.635,0.279,5.0
Proton SPE,frets,per-point,0.416,0.158,0.559,0.154,0.403,0.143,0.614,0.112,0.806,0.051,0.947,0.057,0.445,0.191,5.0
Proton SPE,frets,per-window,0.577,0.166,0.691,0.118,0.544,0.131,0.718,0.087,0.872,0.036,0.927,0.093,0.635,0.241,5.0
Proton SPE,itransformer,per-day,0.622,0.128,0.751,0.104,0.615,0.126,0.774,0.084,0.895,0.049,0.984,0.027,0.632,0.133,5.0
Proton SPE,itransformer,per-point,0.762,0.095,0.813,0.059,0.694,0.082,0.816,0.054,0.928,0.034,0.882,0.02,0.868,0.109,5.0
Proton SPE,itransformer,per-window,0.638,0.094,0.766,0.073,0.632,0.093,0.786,0.059,0.906,0.026,0.987,0.01,0.647,0.097,5.0
Proton SPE,naive (persistence),per-day,0.664,0.126,0.785,0.089,0.66,0.118,0.804,0.074,0.949,,0.993,0.019,0.67,0.139,5.0
Proton SPE,naive (persistence),per-point,0.835,0.051,0.831,0.042,0.719,0.06,0.831,0.042,0.951,0.018,0.832,0.034,1.01,0.026,5.0
Proton SPE,naive (persistence),per-window,0.69,0.056,0.808,0.039,0.688,0.056,0.824,0.033,0.933,0.015,0.998,0.001,0.691,0.056,5.0
Proton SPE,patchmixer,per-day,0.752,0.127,0.787,0.059,0.661,0.081,0.792,0.051,0.919,0.044,0.85,0.077,0.901,0.216,5.0
Proton SPE,patchmixer,per-point,0.767,0.109,0.794,0.067,0.669,0.092,0.796,0.064,0.926,0.041,0.834,0.028,0.925,0.124,5.0
Proton SPE,patchmixer,per-window,0.78,0.064,0.818,0.042,0.702,0.061,0.821,0.042,0.932,0.021,0.874,0.083,0.903,0.132,5.0
Proton SPE,patchtst,per-day,0.657,0.089,0.756,0.085,0.623,0.108,0.767,0.083,0.887,0.049,0.91,0.075,0.724,0.05,5.0
Proton SPE,patchtst,per-point,0.738,0.116,0.768,0.085,0.635,0.111,0.77,0.084,0.912,0.048,0.811,0.055,0.914,0.102,5.0
Proton SPE,patchtst,per-window,0.671,0.076,0.775,0.062,0.644,0.082,0.787,0.057,0.898,0.033,0.935,0.033,0.719,0.062,5.0
Proton SPE,rlinear,per-day,0.717,0.092,0.792,0.077,0.668,0.102,0.799,0.075,0.911,0.044,0.903,0.092,0.8,0.128,5.0
Proton SPE,rlinear,per-point,0.788,0.081,0.803,0.062,0.68,0.084,0.803,0.061,0.933,0.033,0.825,0.046,0.96,0.07,5.0
Proton SPE,rlinear,per-window,0.731,0.054,0.816,0.047,0.699,0.067,0.822,0.046,0.921,0.024,0.937,0.051,0.783,0.055,5.0
Proton SPE,segrnn,per-day,0.65,0.144,0.774,0.109,0.646,0.138,0.795,0.089,0.941,,0.993,0.02,0.656,0.154,5.0
Proton SPE,segrnn,per-point,0.815,0.046,0.846,0.033,0.74,0.05,0.847,0.032,0.947,0.016,0.885,0.024,0.924,0.04,5.0
Proton SPE,segrnn,per-window,0.682,0.041,0.803,0.03,0.68,0.042,0.818,0.026,0.929,0.016,0.995,0.008,0.686,0.04,5.0
Proton SPE,tide,per-day,0.721,0.1,0.797,0.075,0.674,0.099,0.804,0.073,0.913,0.046,0.91,0.079,0.797,0.13,5.0
Proton SPE,tide,per-point,0.778,0.081,0.8,0.062,0.676,0.084,0.801,0.061,0.93,0.033,0.83,0.043,0.942,0.064,5.0
Proton SPE,tide,per-window,0.728,0.047,0.815,0.041,0.697,0.058,0.822,0.04,0.921,0.022,0.94,0.05,0.777,0.056,5.0
Proton SPE,tsmixer,per-day,0.481,0.291,0.606,0.248,0.468,0.268,0.659,0.192,0.917,0.031,0.973,0.046,0.503,0.328,5.0
Proton SPE,tsmixer,per-point,0.378,0.293,0.498,0.24,0.358,0.248,0.569,0.184,0.801,0.093,0.946,0.072,0.414,0.364,5.0
Proton SPE,tsmixer,per-window,0.481,0.321,0.594,0.276,0.46,0.286,0.648,0.214,0.878,0.068,0.961,0.065,0.515,0.378,5.0
Proton SPE,xpatch,per-day,0.653,0.099,0.758,0.069,0.623,0.091,0.771,0.061,0.89,0.04,0.927,0.039,0.707,0.112,5.0
Proton SPE,xpatch,per-point,0.785,0.09,0.8,0.078,0.677,0.107,0.801,0.078,0.932,0.036,0.823,0.093,0.963,0.118,5.0
Proton SPE,xpatch,per-window,0.677,0.104,0.781,0.072,0.654,0.097,0.795,0.064,0.904,0.039,0.948,0.04,0.716,0.117,5.0
Proton SPE (multi),dlinear,per-day,0.596,0.207,0.703,0.159,0.56,0.187,0.723,0.145,0.838,0.144,0.898,0.115,0.667,0.247,5.0
Proton SPE (multi),dlinear,per-point,0.627,0.14,0.68,0.141,0.53,0.169,0.683,0.141,0.867,0.066,0.75,0.148,0.843,0.092,5.0
Proton SPE (multi),dlinear,per-window,0.664,0.067,0.763,0.026,0.624,0.039,0.774,0.02,0.899,0.014,0.913,0.046,0.732,0.114,5.0
Proton SPE (multi),frets,per-day,0.411,0.262,0.538,0.294,0.4,0.26,0.594,0.24,0.782,,0.95,0.139,0.443,0.286,5.0
Proton SPE (multi),frets,per-point,0.214,0.096,0.336,0.129,0.209,0.093,0.433,0.104,0.714,0.087,0.926,0.135,0.237,0.117,5.0
Proton SPE (multi),frets,per-window,0.437,0.2,0.579,0.222,0.429,0.195,0.632,0.172,0.846,0.031,0.968,0.049,0.455,0.212,5.0
Proton SPE (multi),itransformer,per-day,0.549,0.158,0.687,0.132,0.537,0.156,0.717,0.117,0.85,0.2,0.955,0.09,0.575,0.159,5.0
Proton SPE (multi),itransformer,per-point,0.651,0.164,0.689,0.156,0.543,0.187,0.691,0.156,0.876,0.074,0.741,0.154,0.883,0.099,5.0
Proton SPE (multi),itransformer,per-window,0.575,0.098,0.702,0.073,0.55,0.09,0.723,0.062,0.865,0.035,0.922,0.021,0.626,0.109,5.0
Proton SPE (multi),naive (persistence),per-day,0.598,0.21,0.733,0.164,0.598,0.21,0.764,0.136,,,1.0,0.0,0.598,0.21,5.0
Proton SPE (multi),naive (persistence),per-point,0.808,0.06,0.801,0.075,0.676,0.105,0.802,0.075,0.944,0.022,0.799,0.091,1.019,0.063,5.0
Proton SPE (multi),naive (persistence),per-window,0.657,0.052,0.787,0.035,0.655,0.051,0.805,0.03,0.927,0.011,0.997,0.001,0.658,0.052,5.0
Proton SPE (multi),patchmixer,per-day,0.546,0.17,0.663,0.157,0.512,0.167,0.684,0.153,0.816,0.157,0.875,0.171,0.627,0.172,5.0
Proton SPE (multi),patchmixer,per-point,0.603,0.172,0.661,0.158,0.512,0.198,0.666,0.155,0.855,0.077,0.746,0.151,0.813,0.153,5.0
Proton SPE (multi),patchmixer,per-window,0.622,0.096,0.732,0.075,0.587,0.09,0.746,0.067,0.881,0.042,0.907,0.049,0.688,0.107,5.0
Proton SPE (multi),patchtst,per-day,0.524,0.212,0.635,0.171,0.484,0.194,0.658,0.15,0.824,0.097,0.849,0.046,0.614,0.217,5.0
Proton SPE (multi),patchtst,per-point,0.683,0.116,0.709,0.122,0.563,0.158,0.711,0.122,0.892,0.049,0.748,0.148,0.928,0.156,5.0
Proton SPE (multi),patchtst,per-window,0.622,0.068,0.732,0.046,0.585,0.06,0.746,0.04,0.88,0.024,0.905,0.019,0.69,0.081,5.0
Proton SPE (multi),rlinear,per-day,0.58,0.137,0.703,0.116,0.555,0.137,0.724,0.109,0.844,0.099,0.917,0.098,0.634,0.137,5.0
Proton SPE (multi),rlinear,per-point,0.685,0.111,0.723,0.12,0.579,0.156,0.724,0.12,0.895,0.048,0.773,0.14,0.895,0.095,5.0
Proton SPE (multi),rlinear,per-window,0.649,0.066,0.761,0.038,0.621,0.054,0.775,0.033,0.898,0.018,0.934,0.04,0.697,0.089,5.0
Proton SPE (multi),segrnn,per-day,0.553,0.297,0.682,0.264,0.553,0.297,0.725,0.212,,,1.0,0.0,0.553,0.297,5.0
Proton SPE (multi),segrnn,per-point,0.778,0.066,0.806,0.076,0.683,0.108,0.807,0.077,0.936,0.023,0.843,0.103,0.93,0.085,5.0
Proton SPE (multi),segrnn,per-window,0.643,0.042,0.774,0.031,0.638,0.046,0.793,0.028,0.913,0.016,0.986,0.014,0.653,0.038,5.0
Proton SPE (multi),tide,per-day,0.613,0.185,0.726,0.147,0.586,0.182,0.744,0.136,0.856,0.13,0.919,0.097,0.667,0.184,5.0
Proton SPE (multi),tide,per-point,0.688,0.11,0.724,0.119,0.58,0.155,0.726,0.12,0.896,0.047,0.771,0.14,0.902,0.098,5.0
Proton SPE (multi),tide,per-window,0.657,0.065,0.766,0.036,0.627,0.053,0.779,0.032,0.901,0.017,0.933,0.04,0.707,0.091,5.0
Proton SPE (multi),tsmixer,per-day,0.142,0.211,0.216,0.302,0.142,0.211,0.462,0.265,,,1.0,0.0,0.142,0.211,5.0
Proton SPE (multi),tsmixer,per-point,0.166,0.286,0.232,0.371,0.164,0.285,0.468,0.401,0.64,0.0,0.944,0.151,0.176,0.291,5.0
Proton SPE (multi),tsmixer,per-window,0.129,0.21,0.194,0.306,0.129,0.21,0.422,0.348,0.762,,0.999,0.002,0.129,0.21,5.0
Proton SPE (multi),xpatch,per-day,0.54,0.18,0.681,0.174,0.535,0.191,0.713,0.157,0.725,,0.96,0.111,0.557,0.145,5.0
Proton SPE (multi),xpatch,per-point,0.681,0.129,0.748,0.119,0.609,0.156,0.753,0.119,0.899,0.053,0.839,0.123,0.813,0.089,5.0
Proton SPE (multi),xpatch,per-window,0.63,0.082,0.755,0.055,0.614,0.073,0.773,0.046,0.898,0.024,0.96,0.038,0.659,0.1,5.0
XRS M-class,dlinear,per-day,0.151,0.133,0.217,0.159,0.148,0.127,0.291,0.133,0.454,0.116,0.721,0.119,0.221,0.186,5.0
XRS M-class,dlinear,per-point,0.118,0.118,0.124,0.086,0.071,0.053,0.136,0.082,0.432,0.116,0.189,0.105,0.726,0.664,5.0
XRS M-class,dlinear,per-window,0.146,0.102,0.216,0.125,0.144,0.098,0.301,0.096,0.474,0.075,0.772,0.103,0.204,0.155,5.0
XRS M-class,frets,per-day,0.003,0.007,0.006,0.012,0.004,0.007,0.054,0.097,,,0.667,0.925,0.008,0.012,5.0
XRS M-class,frets,per-point,0.002,0.002,0.004,0.004,0.002,0.002,0.02,0.012,0.247,0.065,0.412,0.399,0.008,0.009,5.0
XRS M-class,frets,per-window,0.006,0.004,0.01,0.007,0.006,0.004,0.058,0.025,0.243,0.089,0.808,0.193,0.008,0.007,5.0
XRS M-class,itransformer,per-day,0.053,0.02,0.09,0.032,0.054,0.02,0.202,0.064,0.331,0.126,0.88,0.222,0.061,0.01,5.0
XRS M-class,itransformer,per-point,0.079,0.086,0.125,0.122,0.07,0.072,0.175,0.108,0.465,0.108,0.475,0.052,0.172,0.184,5.0
XRS M-class,itransformer,per-window,0.052,0.021,0.087,0.034,0.052,0.021,0.203,0.046,0.438,0.062,0.922,0.047,0.056,0.022,5.0
XRS M-class,naive (persistence),per-day,0.067,0.023,0.112,0.032,0.067,0.022,0.238,0.043,0.408,,0.967,0.093,0.07,0.021,5.0
XRS M-class,naive (persistence),per-point,0.146,0.077,0.147,0.077,0.084,0.046,0.147,0.077,0.455,0.106,0.154,0.077,0.989,0.046,5.0
XRS M-class,naive (persistence),per-window,0.069,0.02,0.115,0.031,0.069,0.02,0.238,0.036,0.478,0.042,0.94,0.019,0.073,0.019,5.0
XRS M-class,patchmixer,per-day,0.063,0.034,0.105,0.052,0.063,0.034,0.232,0.061,,,1.0,0.0,0.063,0.034,5.0
XRS M-class,patchmixer,per-point,0.051,0.076,0.084,0.115,0.046,0.066,0.137,0.107,0.429,0.105,0.555,0.19,0.106,0.162,5.0
XRS M-class,patchmixer,per-window,0.058,0.037,0.096,0.058,0.058,0.037,0.214,0.068,0.463,0.058,0.943,0.034,0.061,0.038,5.0
XRS M-class,patchtst,per-day,0.033,0.023,0.056,0.039,0.033,0.023,0.158,0.077,0.204,,0.9,0.278,0.036,0.019,5.0
XRS M-class,patchtst,per-point,0.069,0.098,0.105,0.133,0.06,0.079,0.141,0.129,0.417,0.147,0.378,0.101,0.171,0.216,5.0
XRS M-class,patchtst,per-window,0.039,0.028,0.066,0.046,0.039,0.027,0.17,0.069,0.403,0.109,0.894,0.085,0.043,0.028,5.0
XRS M-class,rlinear,per-day,0.06,0.028,0.101,0.039,0.06,0.028,0.229,0.045,,,1.0,0.0,0.06,0.028,5.0
XRS M-class,rlinear,per-point,0.082,0.088,0.128,0.121,0.072,0.072,0.191,0.091,0.493,0.087,0.59,0.243,0.169,0.198,5.0
XRS M-class,rlinear,per-window,0.067,0.031,0.111,0.049,0.067,0.031,0.235,0.056,0.493,0.064,0.958,0.028,0.07,0.032,5.0
XRS M-class,segrnn,per-day,0.057,0.027,0.096,0.039,0.057,0.027,0.222,0.046,,,1.0,0.0,0.057,0.027,5.0
XRS M-class,segrnn,per-point,0.055,0.037,0.098,0.062,0.053,0.035,0.189,0.054,0.496,0.034,0.735,0.142,0.081,0.067,5.0
XRS M-class,segrnn,per-window,0.061,0.018,0.102,0.029,0.061,0.018,0.226,0.036,0.491,0.052,0.962,0.019,0.063,0.018,5.0
XRS M-class,tide,per-day,0.068,0.031,0.113,0.045,0.068,0.031,0.243,0.05,,,1.0,0.0,0.068,0.031,5.0
XRS M-class,tide,per-point,0.085,0.089,0.133,0.12,0.075,0.072,0.196,0.089,0.497,0.085,0.585,0.225,0.175,0.2,5.0
XRS M-class,tide,per-window,0.073,0.032,0.122,0.051,0.074,0.032,0.247,0.055,0.497,0.059,0.954,0.022,0.078,0.033,5.0
XRS M-class,tsmixer,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class,tsmixer,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class,tsmixer,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class,xpatch,per-day,0.058,0.037,0.096,0.057,0.058,0.037,0.214,0.068,0.459,0.026,0.962,0.066,0.062,0.042,5.0
XRS M-class,xpatch,per-point,0.059,0.085,0.094,0.117,0.052,0.069,0.159,0.089,0.469,0.073,0.668,0.241,0.124,0.209,5.0
XRS M-class,xpatch,per-window,0.057,0.036,0.095,0.057,0.057,0.037,0.207,0.062,0.431,0.068,0.898,0.062,0.065,0.044,5.0
XRS M-class (multi),dlinear,per-day,0.105,0.08,0.162,0.107,0.105,0.079,0.27,0.117,0.416,0.201,0.853,0.206,0.123,0.09,5.0
XRS M-class (multi),dlinear,per-point,0.134,0.167,0.143,0.12,0.083,0.077,0.159,0.113,0.462,0.139,0.232,0.126,0.611,0.635,5.0
XRS M-class (multi),dlinear,per-window,0.126,0.085,0.194,0.109,0.126,0.084,0.298,0.091,0.491,0.072,0.858,0.098,0.155,0.111,5.0
XRS M-class (multi),frets,per-day,0.026,0.033,0.043,0.055,0.026,0.034,0.182,0.065,0.361,,0.944,0.155,0.029,0.038,5.0
XRS M-class (multi),frets,per-point,0.036,0.069,0.057,0.103,0.032,0.059,0.11,0.124,0.374,0.138,0.44,0.093,0.089,0.173,5.0
XRS M-class (multi),frets,per-window,0.017,0.026,0.028,0.043,0.017,0.027,0.112,0.097,0.39,0.11,0.945,0.101,0.018,0.029,5.0
XRS M-class (multi),itransformer,per-day,0.025,0.045,0.039,0.071,0.025,0.045,0.213,0.126,0.332,,0.9,0.278,0.027,0.048,5.0
XRS M-class (multi),itransformer,per-point,0.06,0.11,0.082,0.138,0.047,0.082,0.093,0.139,0.311,0.202,0.169,0.175,0.26,0.252,5.0
XRS M-class (multi),itransformer,per-window,0.032,0.027,0.053,0.042,0.033,0.027,0.145,0.071,0.358,0.109,0.829,0.176,0.038,0.028,5.0
XRS M-class (multi),naive (persistence),per-day,0.047,0.056,0.076,0.084,0.047,0.057,0.182,0.102,0.496,,0.983,0.046,0.049,0.063,5.0
XRS M-class (multi),naive (persistence),per-point,0.126,0.08,0.126,0.077,0.073,0.048,0.126,0.077,0.422,0.085,0.133,0.08,0.997,0.051,5.0
XRS M-class (multi),naive (persistence),per-window,0.066,0.027,0.109,0.038,0.066,0.027,0.23,0.045,0.467,0.047,0.934,0.03,0.071,0.026,5.0
XRS M-class (multi),patchmixer,per-day,0.055,0.046,0.089,0.069,0.055,0.046,0.205,0.081,0.479,,0.982,0.051,0.057,0.052,5.0
XRS M-class (multi),patchmixer,per-point,0.067,0.092,0.103,0.13,0.059,0.078,0.151,0.118,0.437,0.108,0.483,0.104,0.151,0.205,5.0
XRS M-class (multi),patchmixer,per-window,0.055,0.038,0.091,0.057,0.055,0.039,0.209,0.07,0.475,0.051,0.964,0.011,0.057,0.04,5.0
XRS M-class (multi),patchtst,per-day,0.031,0.034,0.051,0.055,0.031,0.034,0.168,0.077,0.368,,0.938,0.173,0.035,0.04,5.0
XRS M-class (multi),patchtst,per-point,0.053,0.099,0.078,0.133,0.045,0.08,0.098,0.138,0.335,0.17,0.221,0.181,0.181,0.216,5.0
XRS M-class (multi),patchtst,per-window,0.03,0.029,0.051,0.046,0.031,0.029,0.141,0.077,0.354,0.118,0.833,0.17,0.036,0.028,5.0
XRS M-class (multi),rlinear,per-day,0.036,0.044,0.058,0.068,0.036,0.044,0.18,0.092,0.438,,0.972,0.077,0.038,0.05,5.0
XRS M-class (multi),rlinear,per-point,0.085,0.091,0.124,0.114,0.07,0.07,0.147,0.108,0.431,0.101,0.28,0.108,0.282,0.205,5.0
XRS M-class (multi),rlinear,per-window,0.057,0.032,0.094,0.047,0.057,0.033,0.213,0.057,0.467,0.058,0.95,0.031,0.06,0.033,5.0
XRS M-class (multi),segrnn,per-day,0.04,0.048,0.065,0.074,0.04,0.048,0.17,0.103,,,1.0,0.0,0.04,0.048,5.0
XRS M-class (multi),segrnn,per-point,0.049,0.058,0.085,0.092,0.046,0.053,0.163,0.084,0.47,0.051,0.702,0.192,0.079,0.106,5.0
XRS M-class (multi),segrnn,per-window,0.05,0.031,0.084,0.047,0.05,0.031,0.203,0.061,0.497,0.059,0.978,0.016,0.051,0.031,5.0
XRS M-class (multi),tide,per-day,0.044,0.05,0.071,0.076,0.044,0.051,0.178,0.092,0.479,,0.982,0.051,0.047,0.057,5.0
XRS M-class (multi),tide,per-point,0.09,0.094,0.128,0.115,0.073,0.071,0.15,0.108,0.437,0.101,0.276,0.106,0.302,0.209,5.0
