track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
Proton SPE,dlinear,per-day,0.631,0.117,0.689,0.105,0.546,0.119,0.694,0.104,0.851,0.067,0.782,0.109,0.82,0.118,5.0
Proton SPE,dlinear,per-point,0.701,0.148,0.649,0.133,0.5,0.142,0.652,0.134,0.88,0.079,0.614,0.125,1.166,0.116,5.0
Proton SPE,dlinear,per-window,0.63,0.096,0.697,0.087,0.554,0.101,0.703,0.086,0.854,0.053,0.805,0.1,0.795,0.111,5.0
Proton SPE,frets,per-day,0.444,0.067,0.59,0.076,0.433,0.074,0.633,0.072,0.778,0.061,0.932,0.067,0.477,0.042,5.0
Proton SPE,frets,per-point,0.269,0.026,0.408,0.029,0.262,0.022,0.49,0.024,0.713,0.045,0.915,0.078,0.296,0.046,5.0
Proton SPE,frets,per-window,0.431,0.048,0.579,0.046,0.421,0.05,0.627,0.043,0.793,0.038,0.942,0.047,0.459,0.047,5.0
Proton SPE,itransformer,per-day,0.53,0.123,0.678,0.107,0.53,0.123,0.717,0.085,,,1.0,0.0,0.53,0.123,5.0
Proton SPE,itransformer,per-point,0.646,0.136,0.701,0.1,0.553,0.118,0.706,0.094,0.87,0.063,0.784,0.055,0.829,0.153,5.0
Proton SPE,itransformer,per-window,0.506,0.122,0.653,0.106,0.502,0.12,0.695,0.084,0.856,0.046,0.987,0.01,0.513,0.125,5.0
Proton SPE,naive (persistence),per-day,0.562,0.06,0.706,0.046,0.559,0.057,0.737,0.036,0.879,,0.992,0.023,0.567,0.069,5.0
Proton SPE,naive (persistence),per-point,0.72,0.098,0.712,0.081,0.566,0.097,0.713,0.081,0.898,0.046,0.713,0.065,1.019,0.051,5.0
Proton SPE,naive (persistence),per-window,0.558,0.079,0.704,0.064,0.558,0.079,0.737,0.052,0.893,0.027,0.998,0.001,0.56,0.078,5.0
Proton SPE,patchmixer,per-day,0.626,0.074,0.702,0.114,0.562,0.128,0.712,0.12,0.854,0.064,0.836,0.211,0.786,0.224,5.0
Proton SPE,patchmixer,per-point,0.613,0.159,0.658,0.127,0.507,0.138,0.662,0.123,0.847,0.085,0.728,0.086,0.845,0.149,5.0
Proton SPE,patchmixer,per-window,0.624,0.083,0.706,0.105,0.565,0.122,0.718,0.109,0.862,0.047,0.85,0.192,0.766,0.226,5.0
Proton SPE,patchtst,per-day,0.555,0.107,0.685,0.091,0.538,0.107,0.712,0.08,0.838,0.057,0.94,0.06,0.593,0.109,5.0
Proton SPE,patchtst,per-point,0.629,0.156,0.661,0.114,0.509,0.126,0.663,0.11,0.854,0.079,0.713,0.053,0.887,0.161,5.0
Proton SPE,patchtst,per-window,0.534,0.106,0.668,0.092,0.519,0.103,0.698,0.076,0.838,0.051,0.941,0.018,0.568,0.107,5.0
Proton SPE,rlinear,per-day,0.61,0.085,0.708,0.108,0.568,0.126,0.72,0.114,0.848,0.075,0.87,0.158,0.712,0.07,5.0
Proton SPE,rlinear,per-point,0.583,0.225,0.61,0.207,0.465,0.206,0.612,0.206,0.817,0.141,0.656,0.189,0.89,0.141,5.0
Proton SPE,rlinear,per-window,0.592,0.069,0.7,0.08,0.556,0.096,0.716,0.083,0.853,0.046,0.888,0.124,0.676,0.093,5.0
Proton SPE,segrnn,per-day,0.558,0.097,0.701,0.078,0.555,0.091,0.734,0.061,0.9,,0.992,0.021,0.564,0.109,5.0
Proton SPE,segrnn,per-point,0.674,0.098,0.734,0.071,0.591,0.089,0.738,0.067,0.887,0.042,0.819,0.032,0.827,0.095,5.0
Proton SPE,segrnn,per-window,0.537,0.106,0.684,0.089,0.535,0.105,0.72,0.071,0.881,0.028,0.993,0.006,0.541,0.108,5.0
Proton SPE,tide,per-day,0.61,0.075,0.708,0.101,0.566,0.117,0.72,0.107,0.848,0.068,0.871,0.157,0.711,0.073,5.0
Proton SPE,tide,per-point,0.578,0.228,0.609,0.213,0.464,0.211,0.611,0.212,0.815,0.145,0.658,0.198,0.881,0.139,5.0
Proton SPE,tide,per-window,0.591,0.068,0.7,0.08,0.556,0.096,0.717,0.084,0.854,0.046,0.892,0.126,0.671,0.093,5.0
Proton SPE,tsmixer,per-day,0.364,0.298,0.467,0.352,0.347,0.282,0.629,0.137,0.81,0.111,0.922,0.133,0.404,0.342,5.0
Proton SPE,tsmixer,per-point,0.343,0.361,0.399,0.335,0.284,0.266,0.441,0.328,0.775,0.138,0.842,0.226,0.481,0.564,5.0
Proton SPE,tsmixer,per-window,0.374,0.281,0.477,0.337,0.353,0.257,0.519,0.328,0.809,0.039,0.926,0.108,0.424,0.342,5.0
Proton SPE,xpatch,per-day,0.558,0.087,0.698,0.071,0.551,0.087,0.728,0.061,0.849,0.107,0.976,0.044,0.572,0.088,5.0
Proton SPE,xpatch,per-point,0.643,0.123,0.693,0.097,0.543,0.114,0.696,0.094,0.867,0.059,0.765,0.059,0.844,0.102,5.0
Proton SPE,xpatch,per-window,0.545,0.092,0.685,0.078,0.537,0.093,0.717,0.065,0.856,0.042,0.97,0.02,0.562,0.09,5.0
Proton SPE (multi),dlinear,per-day,0.523,0.11,0.628,0.062,0.468,0.069,0.65,0.05,0.827,0.042,0.836,0.148,0.65,0.231,5.0
Proton SPE (multi),dlinear,per-point,0.497,0.152,0.526,0.167,0.374,0.165,0.529,0.167,0.782,0.093,0.574,0.192,0.895,0.174,5.0
Proton SPE (multi),dlinear,per-window,0.495,0.099,0.616,0.072,0.456,0.086,0.64,0.061,0.809,0.035,0.846,0.042,0.59,0.122,5.0
Proton SPE (multi),frets,per-day,0.451,0.21,0.59,0.223,0.442,0.203,0.642,0.173,0.828,,0.969,0.086,0.472,0.234,5.0
Proton SPE (multi),frets,per-point,0.207,0.108,0.324,0.136,0.2,0.099,0.42,0.106,0.714,0.074,0.913,0.138,0.235,0.147,5.0
Proton SPE (multi),frets,per-window,0.403,0.122,0.545,0.107,0.387,0.107,0.6,0.08,0.806,0.08,0.931,0.125,0.444,0.186,5.0
Proton SPE (multi),itransformer,per-day,0.437,0.07,0.572,0.056,0.411,0.057,0.609,0.061,0.763,0.045,0.873,0.145,0.514,0.142,5.0
Proton SPE (multi),itransformer,per-point,0.519,0.173,0.557,0.18,0.404,0.186,0.56,0.18,0.799,0.095,0.614,0.198,0.863,0.169,5.0
Proton SPE (multi),itransformer,per-window,0.429,0.1,0.57,0.079,0.41,0.088,0.613,0.063,0.789,0.037,0.9,0.054,0.481,0.126,5.0
Proton SPE (multi),naive (persistence),per-day,0.489,0.118,0.646,0.103,0.489,0.118,0.692,0.081,,,1.0,0.0,0.489,0.118,5.0
Proton SPE (multi),naive (persistence),per-point,0.657,0.121,0.658,0.127,0.504,0.145,0.658,0.127,0.875,0.056,0.665,0.136,0.999,0.07,5.0
Proton SPE (multi),naive (persistence),per-window,0.49,0.084,0.648,0.068,0.49,0.084,0.692,0.055,0.874,0.025,0.997,0.001,0.492,0.084,5.0
