track,seq_len,pred_len,fold,strategy,model,best_val_loss,skipped,est_train_hours,rmse,mae,tss_p_gt10,hss_p_gt10,pod_p_gt10,far_p_gt10,tss_xrs_long,hss_xrs_long,pod_xrs_long,far_xrs_long
uni_a,288,144,0,direct,dlinear,0.0524374619126319,False,,0.2408840358257293,0.139417290687561,0.8101012094108129,0.7081918833910815,0.819687339820056,0.3664210191235414,,,,
uni_a,288,144,0,direct,segrnn_thuml,0.0365634448826313,False,,0.1996789425611496,0.1152063310146331,0.801726837506998,0.8271304549516474,0.8044141302651113,0.14178096996283,,,,
uni_a,288,144,0,direct,rlinear,0.0441747084259986,False,,0.2251511812210083,0.1261626332998275,0.7855270590967192,0.7835446631750633,0.7898804469484025,0.2141779356922107,,,,
uni_a,288,144,0,direct,itransformer,0.0378332957625389,False,,0.2052455097436905,0.1172126084566116,0.7724941710015907,0.8116132927203842,0.7750533887018547,0.1403692739151949,,,,
uni_a,288,144,0,direct,tide,0.043834026902914,False,,0.2229833602905273,0.1266044825315475,0.7590884530655384,0.7774990789187888,0.7629054524561018,0.1983457806937949,,,,
uni_a,288,144,0,direct,patchmixer,0.0456513687968254,False,,0.2245208024978637,0.1332997232675552,0.7105389297435992,0.757214115981846,0.7137823113737586,0.1834782333386101,,,,
uni_a,288,144,0,direct,xpatch,0.039690114557743,False,,0.2175635993480682,0.1249166056513786,0.6723981525246919,0.7188321556822063,0.6762779245882511,0.2210042401249721,,,,
uni_a,288,144,0,direct,patchtst,0.0429694503545761,False,,0.2293009608983993,0.1285357624292373,0.6291432639834929,0.6810391157474883,0.633410865500326,0.2499154406655671,,,,
uni_a,288,144,0,direct,frets,0.0514991246163845,False,,0.2264349907636642,0.1425263285636901,0.5518890133407274,0.6722357187540524,0.5535276397931541,0.1277000350670898,,,,
uni_a,288,144,0,direct,tsmixer,0.0526731945574283,False,,0.2303532809019088,0.134224534034729,0.2498062703015535,0.3938039015556467,0.2498812661840556,0.0146247975447802,,,,
uni_b,288,144,0,direct,dlinear,0.1653327941894531,False,,0.4093784689903259,0.3219425976276397,,,,,0.1322205259262766,0.1168354549970637,0.1454473152766334,0.8851587350448399
uni_b,288,144,0,direct,itransformer,0.0494724512100219,False,,0.2332455962896347,0.1337955743074417,,,,,0.0565558837622324,0.0982948401254926,0.0575359128371336,0.5907830523513753
uni_b,288,144,0,direct,segrnn_thuml,0.0469478666782379,False,,0.2297138720750808,0.13554647564888,,,,,0.0551379691148142,0.1005216613977996,0.0555008304071984,0.3565552776689668
uni_b,288,144,0,direct,tide,0.0531579256057739,False,,0.2407199889421463,0.139903649687767,,,,,0.0481543833912977,0.0852962977332594,0.0489771306637279,0.5874239173271445
uni_b,288,144,0,direct,rlinear,0.0532455332577228,False,,0.2409126609563827,0.1402773708105087,,,,,0.045284250882533,0.0804571013507076,0.0460999451593368,0.5999503800437558
uni_b,288,144,0,direct,patchtst,0.0512031428515911,False,,0.2368913441896438,0.1368974596261978,,,,,0.0372714776909115,0.0660788311712705,0.038209127461657,0.675316930959848
uni_b,288,144,0,direct,xpatch,0.0539444983005523,False,,0.2459794282913208,0.1384157985448837,,,,,0.0207173572738826,0.039791456682756,0.0208238575078427,0.3023944275141489
uni_b,288,144,0,direct,patchmixer,0.0567884296178817,False,,0.2508860826492309,0.1396715492010116,,,,,0.0165047194063477,0.0315407568216806,0.0167225036452146,0.5246749408983451
